Nº de Legajo	Fecha y Hora	Código de Tarea
80	2015-07-03 07:54:54	0
14	2015-07-03 07:58:41	0
23	2015-07-03 07:59:02	0
50	2015-07-03 07:59:15	0
5	2015-07-03 08:00:55	0
31	2015-07-03 08:08:08	0
18	2015-07-03 08:08:42	0
11	2015-07-03 08:20:36	0
72	2015-07-03 12:05:19	0
71	2015-07-03 12:12:18	0
18	2015-07-03 12:15:28	0
9	2015-07-03 12:17:42	0
15	2015-07-03 12:26:49	0
10	2015-07-03 12:31:57	0
9	2015-07-03 12:33:29	0
11	2015-07-03 12:36:42	0
10	2015-07-03 13:10:12	0
18	2015-07-03 13:15:09	0
26	2015-07-03 13:20:32	0
50	2015-07-03 13:23:18	0
31	2015-07-03 13:27:50	0
32	2015-07-03 13:27:58	0
32	2015-07-03 13:28:09	0
31	2015-07-03 13:28:45	0
71	2015-07-03 13:43:27	0
50	2015-07-03 13:54:43	0
26	2015-07-03 14:06:33	0
11	2015-07-03 14:12:33	0
22	2015-07-03 16:01:29	0
9	2015-07-03 16:20:50	0
15	2015-07-03 16:24:53	0
7	2015-07-03 16:37:24	0
19	2015-07-03 16:41:30	0
5	2015-07-03 17:02:44	0
32	2015-07-03 17:03:53	0
3	2015-07-03 17:04:32	0
1	2015-07-03 17:07:33	0
23	2015-07-03 17:09:49	0
80	2015-07-03 17:09:56	0
26	2015-07-03 17:10:51	0
10	2015-07-03 17:13:14	0
31	2015-07-03 17:15:34	0
18	2015-07-03 17:16:35	0
11	2015-07-03 17:17:11	0
8	2015-07-03 17:43:26	0
7	2015-07-04 07:32:58	0
3	2015-07-04 07:38:46	0
26	2015-07-04 07:51:29	0
22	2015-07-04 08:25:53	0
10	2015-07-04 08:27:54	0
19	2015-07-04 08:32:54	0
71	2015-07-04 08:33:00	0
1	2015-07-04 08:46:58	0
18	2015-07-04 08:49:44	0
31	2015-07-04 08:50:18	0
72	2015-07-04 08:55:44	0
70	2015-07-04 08:55:50	0
5	2015-07-04 08:58:14	0
11	2015-07-04 09:01:18	0
6	2015-07-04 09:02:04	0
23	2015-07-04 09:09:12	0
32	2015-07-04 09:16:39	0
50	2015-07-04 09:32:40	0
80	2015-07-04 09:36:46	0
72	2015-07-04 10:53:08	0
72	2015-07-04 10:53:19	0
1	2015-07-04 12:01:00	0
5	2015-07-04 12:02:45	0
3	2015-07-04 12:03:26	0
26	2015-07-04 12:05:11	0
23	2015-07-04 12:05:18	0
32	2015-07-04 12:08:13	0
6	2015-07-04 12:13:57	0
19	2015-07-04 12:14:53	0
11	2015-07-04 12:15:27	0
18	2015-07-04 12:15:32	0
22	2015-07-04 12:36:49	0
7	2015-07-04 12:42:59	0
80	2015-07-04 12:47:50	0
10	2015-07-04 12:49:48	0
8	2015-07-04 13:10:44	0
19	2015-07-06 06:10:59	0
7	2015-07-06 06:37:02	0
9	2015-07-06 06:42:22	0
3	2015-07-06 06:59:55	0
6	2015-07-06 07:10:49	0
22	2015-07-06 07:20:16	0
70	2015-07-06 07:20:53	0
1	2015-07-06 07:22:23	0
10	2015-07-06 07:23:49	0
26	2015-07-06 07:37:25	0
71	2015-07-06 07:38:43	0
32	2015-07-06 07:39:25	0
72	2015-07-06 07:46:44	0
14	2015-07-06 07:52:28	0
11	2015-07-06 07:58:54	0
18	2015-07-06 07:59:26	0
80	2015-07-06 08:02:54	0
50	2015-07-06 08:10:25	0
9	2015-07-06 12:04:47	0
50	2015-07-06 12:09:19	0
32	2015-07-06 12:13:15	0
18	2015-07-06 12:16:19	0
11	2015-07-06 12:33:06	0
9	2015-07-06 12:33:22	0
10	2015-07-06 12:33:28	0
18	2015-07-06 12:34:42	0
22	2015-07-06 12:42:59	0
31	2015-07-06 13:06:58	0
31	2015-07-06 13:08:06	0
26	2015-07-06 13:11:53	0
50	2015-07-06 13:12:14	0
6	2015-07-06 13:14:01	0
6	2015-07-06 13:14:26	0
11	2015-07-06 13:43:55	0
32	2015-07-06 13:45:05	0
26	2015-07-06 14:17:01	0
72	2015-07-06 14:35:37	0
72	2015-07-06 15:47:37	0
9	2015-07-06 16:14:25	0
7	2015-07-06 16:33:51	0
15	2015-07-06 16:36:30	0
19	2015-07-06 16:39:34	0
80	2015-07-06 16:54:31	0
71	2015-07-06 17:01:37	0
32	2015-07-06 17:02:10	0
31	2015-07-06 17:02:16	0
11	2015-07-06 17:02:36	0
13	2015-07-06 17:03:19	0
26	2015-07-06 17:05:20	0
18	2015-07-06 17:06:26	0
8	2015-07-06 17:06:33	0
10	2015-07-06 17:13:24	0
6	2015-07-06 17:22:53	0
1	2015-07-06 17:25:56	0
3	2015-07-06 17:26:13	0
22	2015-07-06 17:27:04	0
70	2015-07-06 17:28:52	0
72	2015-07-06 17:39:36	0
50	2015-07-06 17:41:16	0
19	2015-07-07 06:00:35	0
10	2015-07-07 06:03:09	0
7	2015-07-07 06:31:29	0
9	2015-07-07 06:46:12	0
3	2015-07-07 06:54:38	0
70	2015-07-07 07:20:36	0
72	2015-07-07 07:27:27	0
1	2015-07-07 07:29:00	0
15	2015-07-07 07:41:13	0
73	2015-07-07 07:55:01	0
32	2015-07-07 07:55:36	0
13	2015-07-07 07:57:35	0
80	2015-07-07 07:57:40	0
18	2015-07-07 07:58:59	0
26	2015-07-07 08:00:06	0
5	2015-07-07 08:05:54	0
11	2015-07-07 08:10:17	0
50	2015-07-07 08:21:31	0
31	2015-07-07 08:27:33	0
32	2015-07-07 12:00:18	0
18	2015-07-07 12:07:02	0
11	2015-07-07 12:31:54	0
32	2015-07-07 12:34:07	0
31	2015-07-07 12:35:00	0
9	2015-07-07 12:35:58	0
10	2015-07-07 12:36:02	0
73	2015-07-07 12:39:00	0
18	2015-07-07 12:40:24	0
9	2015-07-07 13:07:14	0
10	2015-07-07 13:26:17	0
26	2015-07-07 13:35:46	0
31	2015-07-07 13:41:58	0
11	2015-07-07 13:42:54	0
26	2015-07-07 14:38:13	0
72	2015-07-07 14:41:44	0
72	2015-07-07 15:47:03	0
9	2015-07-07 16:15:00	0
7	2015-07-07 16:36:07	0
19	2015-07-07 16:38:05	0
80	2015-07-07 16:50:07	0
11	2015-07-07 17:03:37	0
71	2015-07-07 17:03:46	0
11	2015-07-07 17:04:55	0
32	2015-07-07 17:05:09	0
5	2015-07-07 17:06:07	0
73	2015-07-07 17:06:51	0
1	2015-07-07 17:07:36	0
3	2015-07-07 17:09:00	0
26	2015-07-07 17:12:49	0
6	2015-07-07 17:17:05	0
18	2015-07-07 17:21:48	0
10	2015-07-07 17:23:40	0
13	2015-07-07 17:23:45	0
10	2015-07-07 17:23:51	0
13	2015-07-07 17:23:54	0
31	2015-07-07 17:24:02	0
8	2015-07-07 17:24:11	0
50	2015-07-07 17:29:38	0
22	2015-07-07 17:29:42	0
72	2015-07-07 18:26:12	0
72	2015-07-07 18:26:25	0
10	2015-07-08 06:12:06	0
19	2015-07-08 06:14:59	0
9	2015-07-08 06:39:35	0
3	2015-07-08 06:57:10	0
71	2015-07-08 06:59:55	0
14	2015-07-08 07:14:57	0
22	2015-07-08 07:17:03	0
8	2015-07-08 07:25:43	0
15	2015-07-08 07:27:57	0
1	2015-07-08 07:35:52	0
26	2015-07-08 07:36:12	0
70	2015-07-08 07:36:15	0
6	2015-07-08 07:36:42	0
10	2015-07-08 07:37:36	0
72	2015-07-08 07:38:49	0
32	2015-07-08 07:48:19	0
13	2015-07-08 07:52:29	0
18	2015-07-08 07:55:36	0
23	2015-07-08 08:10:00	0
73	2015-07-08 08:12:23	0
80	2015-07-08 08:18:54	0
31	2015-07-08 10:04:04	0
9	2015-07-08 12:11:21	0
18	2015-07-08 12:24:23	0
32	2015-07-08 12:29:42	0
6	2015-07-08 12:31:31	0
9	2015-07-08 12:34:09	0
10	2015-07-08 12:43:06	0
6	2015-07-08 12:45:48	0
31	2015-07-08 12:47:43	0
11	2015-07-08 12:53:21	0
50	2015-07-08 12:54:51	0
50	2015-07-08 13:05:27	0
18	2015-07-08 13:11:24	0
18	2015-07-08 13:16:43	0
10	2015-07-08 13:24:16	0
31	2015-07-08 13:46:59	0
15	2015-07-08 13:47:08	0
11	2015-07-08 13:53:56	0
72	2015-07-08 14:39:22	0
72	2015-07-08 15:39:32	0
9	2015-07-08 16:18:49	0
7	2015-07-08 16:31:50	0
15	2015-07-08 16:32:41	0
19	2015-07-08 16:36:14	0
80	2015-07-08 16:40:04	0
13	2015-07-08 17:01:25	0
32	2015-07-08 17:02:13	0
26	2015-07-08 17:04:45	0
11	2015-07-08 17:05:06	0
23	2015-07-08 17:05:22	0
6	2015-07-08 17:10:26	0
18	2015-07-08 17:13:19	0
1	2015-07-08 17:14:05	0
3	2015-07-08 17:14:19	0
5	2015-07-08 17:14:36	0
22	2015-07-08 17:18:22	0
8	2015-07-08 17:22:06	0
71	2015-07-08 17:22:09	0
31	2015-07-08 17:24:14	0
10	2015-07-08 17:41:52	0
50	2015-07-08 17:57:15	0
72	2015-07-08 18:03:52	0
19	2015-07-09 06:12:03	0
9	2015-07-09 06:26:40	0
7	2015-07-09 06:31:23	0
15	2015-07-09 06:38:32	0
14	2015-07-09 06:50:08	0
3	2015-07-09 06:53:01	0
6	2015-07-09 07:03:21	0
26	2015-07-09 07:04:01	0
71	2015-07-09 07:13:38	0
70	2015-07-09 07:18:41	0
13	2015-07-09 07:30:13	0
72	2015-07-09 07:42:25	0
73	2015-07-09 07:47:19	0
32	2015-07-09 07:48:45	0
50	2015-07-09 07:50:24	0
31	2015-07-09 07:58:45	0
10	2015-07-09 07:59:00	0
18	2015-07-09 08:00:06	0
5	2015-07-09 08:00:54	0
80	2015-07-09 08:07:57	0
23	2015-07-09 08:22:20	0
32	2015-07-09 12:00:09	0
10	2015-07-09 12:05:50	0
50	2015-07-09 12:16:36	0
71	2015-07-09 12:43:51	0
50	2015-07-09 12:57:36	0
10	2015-07-09 12:59:48	0
31	2015-07-09 13:10:18	0
6	2015-07-09 13:23:27	0
32	2015-07-09 13:26:45	0
26	2015-07-09 13:32:23	0
15	2015-07-09 13:34:04	0
11	2015-07-09 13:41:45	0
6	2015-07-09 13:42:13	0
15	2015-07-09 14:12:00	0
11	2015-07-09 14:31:28	0
72	2015-07-09 14:40:07	0
73	2015-07-09 15:47:52	0
9	2015-07-09 16:17:03	0
22	2015-07-09 16:19:12	0
8	2015-07-09 16:20:04	0
15	2015-07-09 16:24:23	0
19	2015-07-09 16:38:00	0
7	2015-07-09 16:39:09	0
32	2015-07-09 17:00:14	0
23	2015-07-09 17:00:28	0
26	2015-07-09 17:01:04	0
10	2015-07-09 17:03:50	0
71	2015-07-09 17:05:51	0
80	2015-07-09 17:08:29	0
18	2015-07-09 17:08:44	0
11	2015-07-09 17:08:52	0
31	2015-07-09 17:10:19	0
18	2015-07-09 17:11:18	0
3	2015-07-09 17:18:14	0
5	2015-07-09 17:18:19	0
1	2015-07-09 17:18:46	0
13	2015-07-09 17:25:39	0
72	2015-07-09 17:41:39	0
19	2015-07-10 06:47:40	0
10	2015-07-10 06:48:02	0
9	2015-07-10 06:48:46	0
8	2015-07-10 06:59:13	0
6	2015-07-10 07:05:16	0
3	2015-07-10 07:07:04	0
15	2015-07-10 07:09:16	0
14	2015-07-10 07:16:21	0
1	2015-07-10 07:26:09	0
72	2015-07-10 07:42:17	0
26	2015-07-10 07:49:36	0
80	2015-07-10 08:01:20	0
5	2015-07-10 08:01:21	0
18	2015-07-10 08:05:49	0
73	2015-07-10 08:06:40	0
50	2015-07-10 08:08:22	0
11	2015-07-10 08:08:50	0
31	2015-07-10 08:10:14	0
13	2015-07-10 08:12:40	0
32	2015-07-10 08:17:25	0
9	2015-07-10 12:04:44	0
32	2015-07-10 12:09:35	0
18	2015-07-10 12:11:47	0
71	2015-07-10 12:15:48	0
32	2015-07-10 12:28:12	0
50	2015-07-10 12:43:50	0
9	2015-07-10 12:44:23	0
11	2015-07-10 12:47:07	0
18	2015-07-10 12:48:12	0
26	2015-07-10 12:49:18	0
10	2015-07-10 12:53:56	0
6	2015-07-10 12:57:50	0
6	2015-07-10 12:59:07	0
50	2015-07-10 13:05:49	0
31	2015-07-10 13:07:46	0
71	2015-07-10 13:08:01	0
31	2015-07-10 13:08:08	0
10	2015-07-10 13:25:59	0
23	2015-07-10 13:32:58	0
11	2015-07-10 13:43:22	0
72	2015-07-10 14:06:32	0
9	2015-07-10 15:55:24	0
22	2015-07-10 16:26:34	0
19	2015-07-10 16:39:00	0
80	2015-07-10 16:39:11	0
7	2015-07-10 16:41:38	0
23	2015-07-10 17:00:49	0
32	2015-07-10 17:02:33	0
26	2015-07-10 17:03:25	0
8	2015-07-10 17:04:01	0
5	2015-07-10 17:12:05	0
73	2015-07-10 17:13:40	0
3	2015-07-10 17:13:54	0
1	2015-07-10 17:14:00	0
18	2015-07-10 17:16:00	0
11	2015-07-10 17:20:53	0
31	2015-07-10 17:21:02	0
50	2015-07-10 17:21:29	0
72	2015-07-10 17:48:54	0
13	2015-07-10 18:01:22	0
10	2015-07-10 18:14:44	0
3	2015-07-11 07:47:42	0
26	2015-07-11 07:56:25	0
22	2015-07-11 07:59:25	0
6	2015-07-11 08:19:31	0
71	2015-07-11 08:29:25	0
19	2015-07-11 08:30:00	0
10	2015-07-11 08:30:55	0
70	2015-07-11 08:38:11	0
10	2015-07-11 08:38:53	0
18	2015-07-11 08:47:23	0
32	2015-07-11 08:50:02	0
73	2015-07-11 08:52:25	0
72	2015-07-11 08:56:28	0
13	2015-07-11 08:57:47	0
23	2015-07-11 08:58:22	0
31	2015-07-11 09:01:24	0
1	2015-07-11 09:01:52	0
11	2015-07-11 09:06:27	0
80	2015-07-11 09:08:28	0
50	2015-07-11 09:14:25	0
1	2015-07-11 11:59:28	0
73	2015-07-11 11:59:34	0
5	2015-07-11 11:59:37	0
3	2015-07-11 11:59:44	0
13	2015-07-11 12:01:19	0
19	2015-07-11 12:01:32	0
32	2015-07-11 12:02:49	0
23	2015-07-11 12:04:41	0
6	2015-07-11 12:19:55	0
6	2015-07-11 12:20:05	0
31	2015-07-11 12:24:19	0
18	2015-07-11 12:24:33	0
11	2015-07-11 12:25:04	0
80	2015-07-11 12:28:59	0
22	2015-07-11 12:30:38	0
72	2015-07-11 12:31:44	0
50	2015-07-11 12:37:09	0
10	2015-07-11 12:45:10	0
8	2015-07-11 12:45:20	0
19	2015-07-13 06:24:20	0
71	2015-07-13 06:36:43	0
9	2015-07-13 06:45:06	0
3	2015-07-13 06:46:19	0
7	2015-07-13 06:50:08	0
8	2015-07-13 06:54:36	0
10	2015-07-13 07:15:43	0
73	2015-07-13 07:17:48	0
26	2015-07-13 07:18:02	0
6	2015-07-13 07:20:05	0
1	2015-07-13 07:21:10	0
70	2015-07-13 07:21:27	0
72	2015-07-13 07:21:41	0
15	2015-07-13 07:21:48	0
22	2015-07-13 07:25:48	0
22	2015-07-13 07:25:53	0
14	2015-07-13 07:37:31	0
23	2015-07-13 07:48:06	0
5	2015-07-13 07:49:09	0
13	2015-07-13 07:51:07	0
18	2015-07-13 07:56:51	0
11	2015-07-13 07:58:15	0
80	2015-07-13 08:05:34	0
50	2015-07-13 08:10:15	0
32	2015-07-13 08:15:28	0
31	2015-07-13 09:13:01	0
15	2015-07-13 11:56:32	0
18	2015-07-13 12:02:49	0
32	2015-07-13 12:27:23	0
71	2015-07-13 12:30:15	0
6	2015-07-13 12:35:39	0
11	2015-07-13 12:38:13	0
31	2015-07-13 12:50:10	0
18	2015-07-13 12:52:01	0
32	2015-07-13 12:56:57	0
6	2015-07-13 13:02:05	0
73	2015-07-13 13:04:12	0
10	2015-07-13 13:07:52	0
71	2015-07-13 13:31:24	0
31	2015-07-13 13:32:37	0
10	2015-07-13 13:39:17	0
11	2015-07-13 13:40:57	0
22	2015-07-13 14:09:24	0
73	2015-07-13 14:11:13	0
22	2015-07-13 14:30:59	0
72	2015-07-13 14:39:47	0
72	2015-07-13 15:45:07	0
19	2015-07-13 16:19:22	0
9	2015-07-13 16:21:23	0
7	2015-07-13 16:29:39	0
13	2015-07-13 17:01:07	0
73	2015-07-13 17:01:47	0
3	2015-07-13 17:02:21	0
5	2015-07-13 17:02:42	0
5	2015-07-13 17:03:05	0
1	2015-07-13 17:03:11	0
32	2015-07-13 17:03:32	0
26	2015-07-13 17:06:10	0
23	2015-07-13 17:06:15	0
18	2015-07-13 17:12:40	0
80	2015-07-13 17:16:25	0
11	2015-07-13 17:20:26	0
6	2015-07-13 17:24:00	0
8	2015-07-13 17:29:49	0
22	2015-07-13 17:30:04	0
71	2015-07-13 17:32:43	0
10	2015-07-13 17:33:29	0
31	2015-07-13 17:33:49	0
72	2015-07-13 17:38:03	0
50	2015-07-13 17:48:21	0
7	2015-07-14 06:33:43	0
71	2015-07-14 06:40:21	0
19	2015-07-14 06:40:25	0
9	2015-07-14 06:49:27	0
70	2015-07-14 07:00:37	0
22	2015-07-14 07:00:44	0
3	2015-07-14 07:11:07	0
72	2015-07-14 07:11:23	0
1	2015-07-14 07:18:51	0
14	2015-07-14 07:21:52	0
10	2015-07-14 07:22:00	0
10	2015-07-14 07:26:16	0
73	2015-07-14 07:26:16	0
5	2015-07-14 07:26:53	0
15	2015-07-14 07:30:02	0
26	2015-07-14 07:33:09	0
32	2015-07-14 07:42:47	0
18	2015-07-14 07:58:02	0
8	2015-07-14 07:58:14	0
13	2015-07-14 08:00:00	0
11	2015-07-14 08:02:42	0
31	2015-07-14 08:07:47	0
23	2015-07-14 08:07:56	0
50	2015-07-14 08:14:01	0
80	2015-07-14 08:22:16	0
73	2015-07-14 10:59:39	0
18	2015-07-14 12:15:13	0
9	2015-07-14 12:19:33	0
32	2015-07-14 12:24:37	0
11	2015-07-14 12:38:59	0
50	2015-07-14 12:49:39	0
9	2015-07-14 12:55:27	0
32	2015-07-14 12:57:21	0
18	2015-07-14 13:00:18	0
26	2015-07-14 13:07:48	0
11	2015-07-14 13:13:34	0
31	2015-07-14 13:18:25	0
31	2015-07-14 13:19:06	0
10	2015-07-14 13:45:44	0
26	2015-07-14 13:52:28	0
10	2015-07-14 14:13:12	0
72	2015-07-14 16:09:11	0
9	2015-07-14 16:18:48	0
15	2015-07-14 16:38:12	0
19	2015-07-14 16:43:58	0
71	2015-07-14 17:03:15	0
80	2015-07-14 17:05:05	0
13	2015-07-14 17:05:22	0
10	2015-07-14 17:07:41	0
23	2015-07-14 17:08:10	0
26	2015-07-14 17:08:43	0
31	2015-07-14 17:08:59	0
1	2015-07-14 17:10:33	0
3	2015-07-14 17:10:57	0
5	2015-07-14 17:11:12	0
32	2015-07-14 17:11:13	0
18	2015-07-14 17:11:40	0
50	2015-07-14 17:23:48	0
19	2015-07-15 06:11:54	0
7	2015-07-15 06:28:29	0
71	2015-07-15 06:39:16	0
9	2015-07-15 06:52:43	0
15	2015-07-15 06:55:17	0
3	2015-07-15 07:09:02	0
6	2015-07-15 07:19:56	0
22	2015-07-15 07:29:16	0
72	2015-07-15 07:35:10	0
11	2015-07-15 07:38:09	0
1	2015-07-15 07:39:35	0
5	2015-07-15 07:40:40	0
8	2015-07-15 07:45:57	0
26	2015-07-15 07:52:09	0
18	2015-07-15 07:56:39	0
31	2015-07-15 07:57:24	0
14	2015-07-15 07:59:30	0
13	2015-07-15 08:01:27	0
32	2015-07-15 08:02:13	0
23	2015-07-15 08:15:43	0
50	2015-07-15 08:28:03	0
23	2015-07-15 12:03:21	0
10	2015-07-15 12:09:59	0
32	2015-07-15 12:42:11	0
32	2015-07-15 12:42:17	0
50	2015-07-15 12:51:56	0
73	2015-07-15 12:57:57	0
10	2015-07-15 13:06:00	0
26	2015-07-15 13:09:49	0
23	2015-07-15 13:16:30	0
50	2015-07-15 13:19:39	0
6	2015-07-15 13:25:15	0
6	2015-07-15 13:47:27	0
73	2015-07-15 14:00:25	0
26	2015-07-15 14:03:37	0
31	2015-07-15 14:29:12	0
72	2015-07-15 16:17:35	0
9	2015-07-15 16:18:21	0
19	2015-07-15 16:44:25	0
15	2015-07-15 16:44:31	0
7	2015-07-15 16:49:18	0
23	2015-07-15 17:02:19	0
31	2015-07-15 17:04:38	0
71	2015-07-15 17:06:27	0
8	2015-07-15 17:06:33	0
22	2015-07-15 17:08:10	0
80	2015-07-15 17:08:40	0
70	2015-07-15 17:12:11	0
26	2015-07-15 17:12:59	0
18	2015-07-15 17:16:55	0
13	2015-07-15 17:19:57	0
1	2015-07-15 17:21:10	0
3	2015-07-15 17:21:44	0
5	2015-07-15 17:23:56	0
10	2015-07-15 17:44:31	0
10	2015-07-16 06:27:42	0
19	2015-07-16 06:36:30	0
3	2015-07-16 06:42:20	0
9	2015-07-16 06:45:15	0
71	2015-07-16 07:16:38	0
6	2015-07-16 07:24:27	0
70	2015-07-16 07:24:40	0
1	2015-07-16 07:39:46	0
18	2015-07-16 07:41:42	0
13	2015-07-16 07:49:58	0
1	2015-07-16 07:50:43	0
72	2015-07-16 07:53:06	0
5	2015-07-16 07:59:39	0
80	2015-07-16 08:00:34	0
14	2015-07-16 08:00:45	0
32	2015-07-16 08:05:56	0
23	2015-07-16 08:07:32	0
31	2015-07-16 08:07:49	0
31	2015-07-16 08:07:53	0
50	2015-07-16 08:16:14	0
9	2015-07-16 12:06:28	0
10	2015-07-16 12:20:33	0
32	2015-07-16 12:34:43	0
9	2015-07-16 12:38:44	0
6	2015-07-16 12:41:42	0
50	2015-07-16 12:44:29	0
6	2015-07-16 12:52:58	0
73	2015-07-16 12:54:09	0
10	2015-07-16 13:07:30	0
31	2015-07-16 13:09:08	0
31	2015-07-16 13:10:08	0
71	2015-07-16 13:10:32	0
71	2015-07-16 13:10:42	0
26	2015-07-16 13:46:42	0
50	2015-07-16 13:52:48	0
26	2015-07-16 14:40:46	0
72	2015-07-16 14:42:59	0
15	2015-07-16 14:55:36	0
9	2015-07-16 16:15:30	0
22	2015-07-16 16:29:27	0
7	2015-07-16 16:36:05	0
19	2015-07-16 16:46:48	0
1	2015-07-16 17:03:21	0
73	2015-07-16 17:03:31	0
80	2015-07-16 17:03:49	0
3	2015-07-16 17:04:46	0
32	2015-07-16 17:05:03	0
5	2015-07-16 17:05:40	0
50	2015-07-16 17:06:40	0
26	2015-07-16 17:06:43	0
23	2015-07-16 17:06:49	0
71	2015-07-16 17:07:11	0
13	2015-07-16 17:07:43	0
18	2015-07-16 17:09:26	0
8	2015-07-16 17:25:56	0
6	2015-07-16 17:39:19	0
31	2015-07-16 17:39:57	0
10	2015-07-16 17:49:28	0
72	2015-07-16 18:28:05	0
10	2015-07-17 06:09:48	0
19	2015-07-17 06:10:00	0
7	2015-07-17 06:31:50	0
31	2015-07-17 06:43:16	0
9	2015-07-17 06:45:01	0
6	2015-07-17 07:04:28	0
3	2015-07-17 07:05:29	0
18	2015-07-17 07:20:46	0
26	2015-07-17 07:30:03	0
71	2015-07-17 07:30:17	0
22	2015-07-17 07:35:23	0
72	2015-07-17 07:38:36	0
73	2015-07-17 07:39:08	0
1	2015-07-17 07:41:50	0
80	2015-07-17 07:56:18	0
32	2015-07-17 07:56:24	0
13	2015-07-17 07:59:06	0
5	2015-07-17 08:02:21	0
23	2015-07-17 08:09:43	0
50	2015-07-17 08:18:41	0
9	2015-07-17 12:06:30	0
18	2015-07-17 12:12:52	0
32	2015-07-17 12:13:00	0
72	2015-07-17 12:21:40	0
18	2015-07-17 12:38:55	0
9	2015-07-17 12:45:37	0
10	2015-07-17 12:56:58	0
32	2015-07-17 13:01:37	0
6	2015-07-17 13:09:07	0
26	2015-07-17 13:20:11	0
6	2015-07-17 13:23:26	0
72	2015-07-17 13:23:39	0
10	2015-07-17 13:37:10	0
